average_stars,compliments,elite,fans,friends,name,review_count,type,user_id,votes,yelping_since
2.669999999999999,{},[],0,[],Patrick,3,user,IYy0qA0y68BORPqoCMsswQ,"{'funny': 0, 'useful': 1, 'cool': 0}",2013-01
4.4,{},[],0,['m-TvO61NE1UNHqMvB3jGpg'],T,10,user,U5EdP6_idH3dRMBycSTrpQ,"{'funny': 0, 'useful': 5, 'cool': 2}",2013-04
3.399999999999999,{'cute': 1},[],0,[],Ivan,13,user,9fZpxJ41PyJfQdFWdKBx3w,"{'funny': 3, 'useful': 10, 'cool': 2}",2008-06
1.5,{},[],0,[],Jessi,2,user,I2sD14pk5VM4cCu8wU1nuw,"{'funny': 0, 'useful': 0, 'cool': 0}",2012-11
3.569999999999999,"{'profile': 1, 'cute': 2, 'funny': 5, 'plain': 20, 'writer': 2, 'note': 4, 'hot': 18, 'more': 3, 'cool': 37}","[2009, 2010]",3,"['i63u3SdbrLsP4FxiSKP0Zw', 'L3YVTmTV96Who9VY3w7Zzw', 'TXlX1QtA0vJS5mNj_KVWeA', '_0ldnpmfG5sMwd3jqZDM2w', 'jy0DFl1mEscUXTonv3YXmA', 'LN_W5KB_-9S8bxxi6WIFSQ', 'xOK3i0wgmkpGu54BuIcwQA', 'A0puRx8MGQsnk8uXtpw4hg', 'ZNpAVHTehFYp0rObGT4teQ', 'S24pCsFa1OcVXcSrA4VlrQ', '7-7aKFcWLMC_nrG0S9u79A', 'LNna6In2QmJrDfP27-rhNA', 'Q8rumFOKFM-BcR4cS3Fb-A', 'Ys9vx9gF3MWTlapXz0HiOQ', '8MGfo567WSrB23LaYv8-_w', 'VvcvzUynAorlkQ-xF_4qAw', 'jOdmuH4kPZUfWH0--IIvLA', 'jLBh-z3JrJkqJfn5VN9OJA', 'EZ8qAgoxmxDOEL9_UHkaJw', '8tbXmjYGsYFZXk6ppuwRWQ', 'DA7JBTEjeEUH3F9o7v8Zwg', 'spJUPXI7QaIctU0FO5c42w', 'BKo0QW3LGBzAZug4doJrgA', '4o9WPIHKZigkAD9r0BzNQg']",Jeannette,132,user,D5OsccvdRypNOSwU9e2ydQ,"{'funny': 61, 'useful': 214, 'cool': 111}",2005-06
1.75,{},[],0,[],Bradley,4,user,-JmWw7ntwSpvIwRKgfKrhg,"{'funny': 0, 'useful': 10, 'cool': 1}",2011-06
5.0,{},[],1,"['xX5Y2-Tp_4SuZea85DoINQ', 'Ky1BXFCOkUpWcIep3Im09w', 'LMGEfmk2Sn6ONgzcsj24cA']",Jim,1,user,E6wju5MjKQEH22h7j7p7zg,"{'funny': 0, 'useful': 0, 'cool': 0}",2012-12
5.0,{},[],0,[],Dawn,1,user,Do9ocWA8TD0dk1NShUdMrQ,"{'funny': 0, 'useful': 0, 'cool': 0}",2012-08
1.25,{},[],0,[],Gary,3,user,x56ow152fgCzQC6ZBo7oxg,"{'funny': 2, 'useful': 1, 'cool': 1}",2012-05
4.25,{'funny': 1},[],0,[],Clay,12,user,5mOO95EHwbvMb5epfWfmBA,"{'funny': 0, 'useful': 7, 'cool': 1}",2011-11
3.77,"{'funny': 3, 'plain': 8, 'note': 5, 'photos': 3, 'hot': 8, 'cool': 12}","[2007, 2008, 2010, 2011]",6,"['7uxXuCcpw9-mUS3OJVw8aQ', 'GPxx0W7KUaNYnUiBIDSYpw', 'DyfA7aPzRQ81kJnbkuIiJQ', 'ShW7pcVkM_D7nENjAUmU0w', 'ilzUv4QDiaodoVGdQOG_7w', 'p_0Rq-BXWEeeRZhrga9ing', 'IWh0rjF-oBDLJPqRQ0jfNA', 'ltYDFHSVSc_ztIiJrndmeQ', 'VDHUtEnPh54OJiYow91d3A', 'QTyf-fWqFdtxIAd-ASCwyQ', 'oB8nP56tobPkZveOsAg7TA', 'B7McDYDrf4R814OT3xwInQ', '1PLiFGdZPPzlrIzWIKIz3A', 'lkxakfG36M0sWRWErnpTtQ']",Jen,194,user,i5bTHx0RxwqPjvXC4J84oA,"{'funny': 110, 'useful': 283, 'cool': 115}",2007-01
1.5,{},[],0,[],Cesar,2,user,mtI0taVQ8l3BiN38EXQCPw,"{'funny': 0, 'useful': 1, 'cool': 0}",2013-06
